r	∅	67
		pə-1ɾi-si+Masc	pɛ-ɾi-1si	pə-1ɾi-si
		pə-1ɾi-ʒin+Masc	pɛ-ɾi-1ʒin	pə-1ɾi-ʒin
o	iɾ	2
		məɡ-nə-tu-mu1tɾiu+Masc	məɡ-nə-tu-mu-1to	məɡ-nə-tu-mu1tɾiu
		lu-ku-mu1tɾiu+Masc	lu-ku-mu-1to	lu-ku-mu1tɾiu
s	z	2
		i-ði-u-ziŋ-1kɾa-tik+Masc	i-ði-u-siŋ-1kɾa-tik	i-ði-u-ziŋ-1kɾa-tik
		u-1ni-zun+Masc	u-1ni-sun	u-1ni-zun
uw	∅	2
		im-1pi+Masc	im-1piuw	im-1pi
		ə-1βɾe+Masc	ə-1βɾeuw	ə-1βɾe
ɔ	u	2
		kur-pɾə-nə-1ðoɾ+Masc	kɔr-pɾə-nə-1ðo	kur-pɾə-nə-1ðo
		kuʎ-1βɛɾd+Masc	kɔʎ-1βɛrt	kuʎ-1βɛrt
∅	ə	2
		kəb-1baʃ+Masc	kab-1baʃ	kəb-1baʃ
		1mal+Fem	1ma-la	1ma-lə
uw	p	2
		bi-1kɔŋ-kəb+Masc	bi-1kɔŋ-kəuw	bi-1kɔŋ-kəp
		1kɔŋ-kəb+Masc	1kɔŋ-kəuw	1kɔŋ-kəp
∅	d	2
		1midʒ+Masc	1mit͡ʃ	1midt͡ʃ
		1ʎedʒ+Masc	1ʎet͡ʃ	1ʎedt͡ʃ
u	w	2
		əm-1biɣw+Masc	əm-1bi-ɣu	əm-1biɣw
		əɡ-1ziɣw+Masc	əɡ-1zi-ɣu	əɡ-1ziɣw
ə	1e	1
		1tez+Masc	təs	1tes
uɛ	ɔə	1
		tər-1mɔ-ʒən+Masc	tɛr-mu-1ʒɛn	tər-1mɔ-ʒən
-o	iuɾ	1
		tək1tɾiu+Masc	tək-1to	tək1tɾiu
ʃ	ek	1
		sə-kəs-pe-ə-ɾi-1an+Masc	ʃəs-pi-ɾi-1a	sə-kəs-pe-ə-ɾi-1a
