i-ði-u-ziŋ-1kɾa-tik+Masc	i-ði-u-ziŋ-1kɾa-tik	i-ði-u-siŋ-1kɾa-tik
i-ðɾu-ku1r+Fem	i-ðɾu-ku1rə	i-ðɾu-ku-1ra
i-ðɾu-ku1r+Masc	i-ðɾu-ku1r	i-ðɾu-1kɔr
i-zu-1term+Masc	i-zu-1term	i-zu-1tɛrm
iŋ-1kɔŋ-ɡɾu+Masc	iŋ-1kɔŋ-ɡɾu	iŋ-1koŋ-ɡɾu
in-1tɾors+Masc	in-1tɾors	in-1tɾos
mi-u-kəɾ-1ði-ək+Fem	mi-u-kəɾ-1ði-əkə	mi-u-kəɾ-1ði-ə-kə
mə-1ni-ək+Fem	mə-1ni-əkə	mə-1ni-ə-kə
mu-1nɔ-ʒin+Masc	mu-1nɔ-ʒin	mo-nu-1ʒin
ma-1la-i-zi+Masc	ma-1la-i-zi	ma-1laj-zi
mo-nu-mə-1ni-ək+Fem	mo-nu-mə-1ni-əkə	mo-nu-mə-1ni-ə-kə
mo-nu-1ik+Masc	mo-nu-1ik	mu-1nɔjk
tər-1mɔ-ʒən+Masc	tər-1mɔ-ʒən	tɛr-mu-1ʒɛn
tɾə-ʒi-1kɔ-mik+Masc	tɾə-ʒi-1kɔ-mik	tɾa-ʒi-1kɔ-mik
tɛ-lə-1fɔ-nik+Masc	tɛ-lə-1fɔ-nik	tə-lə-1fɔ-nik
tɛ-lə-1fɛ-ɾik+Masc	tɛ-lə-1fɛ-ɾik	tə-lə-1fɛ-ɾik
tɛ-lə-1pa-tik+Masc	tɛ-lə-1pa-tik	tə-lə-1pa-tik
əks-1tɾɔrs+Masc	əks-1tɾɔrs	əks-1tɾos
əm-1biɣw+Masc	əm-1biɣw	əm-1bi-ɣu
əm-bɾu-1zi-ək+Fem	əm-bɾu-1zi-əkə	əm-bɾu-1zi-ə-kə
ə-mu-1ni-ək+Fem	ə-mu-1ni-əkə	ə-mu-1ni-ə-kə
ə-fɾu-ə-zi-1a-tik+Masc	ə-fɾu-ə-zi-1a-tik	a-fɾu-ə-zi-1a-tik
ə-fɾu-ði-1zi-ək+Fem	ə-fɾu-ði-1zi-əkə	ə-fɾu-ði-1zi-ə-kə
ə-nə-fɾu-ði-1zi-ək+Fem	ə-nə-fɾu-ði-1zi-əkə	ə-nə-fɾu-ði-1zi-ə-kə
ə-lə-fən-1ti-ək+Fem	ə-lə-fən-1ti-əkə	ə-lə-fən-1ti-ə-kə
ə-lə-1ʒi-ək+Fem	ə-lə-1ʒi-əkə	ə-lə-1ʒi-ə-kə
ə-ɣɾu-ə-li-mən-1ta-ɾi+Masc	ə-ɣɾu-ə-li-mən-1ta-ɾi	a-ɣɾu-ə-li-mən-1ta-ɾi
ə-1fiks+Fem	ə-1fiksə	ə-1fik-sə
ə-1li-ək+Fem	ə-1li-əkə	ə-1li-ə-kə
ə-1zja-tik+Masc	ə-1zja-tik	ə-zi-1a-tik
əs-kə-nə-1ðɾɛt+Masc	əs-kə-nə-1ðɾɛt	əs-kɛ-nə-1ðɾɛt
əs-ti-1ɔ-mən+Masc	əs-ti-1ɔ-mən	əs-ti-1o-mən
əs-1kɛr+Masc	əs-1kɛr	əs-1ke
əs-1pars+Masc	əs-1pars	əs-1pas
əɡ-1ziɣw+Masc	əɡ-1ziɣw	əɡ-1zi-ɣu
əuws-1tɾi-ək+Fem	əuws-1tɾi-əkə	əuws-1tɾi-ə-kə
əŋ-1ɡɔst+Masc	əŋ-1ɡɔst	əŋ-1ɡost
ər-1tɛ-ɾi-us+Fem	ər-1tɛ-ɾi-usə	ər-1tɛ-ɾi-u-sə
ər-1tɛ-ɾi-us+Masc	ər-1tɛ-ɾi-us	ər-tə-ɾi-1os
əʎs-1ta-tik+Masc	əʎs-1ta-tik	həʎs-1ta-tik
pə-ɾə-ði-1zi-ək+Fem	pə-ɾə-ði-1zi-əkə	pə-ɾə-ði-1zi-ə-kə
pə-lə-1ɔ-ʒən+Masc	pə-lə-1ɔ-ʒən	pə-le-u-1ʒɛn
pə-le-u-1sɛ-nik+Masc	pə-le-u-1sɛ-nik	pə-lə-u-1sɛ-nik
pə-1ɾi-si+Masc	pə-1ɾi-si	pɛ-ɾi-1si
pə-1ɾi-ʒin+Masc	pə-1ɾi-ʒin	pɛ-ɾi-1ʒin
pɾu-1piŋkw+Fem	pɾu-1piŋkwə	pɾu-1piŋ-kwə
pɾu-1piŋkw+Masc	pɾu-1piŋkw	pɾu-1piŋ
pɾu-1liks+Fem	pɾu-1liksə	pɾu-1lik-sə
pɾo-tu-ku-1la-ɾi+Masc	pɾo-tu-ku-1la-ɾi	pɾu-tu-ku-1la-ɾi
